head;relation;tail
first-line supervisors of food preparation and serving workers;broadmatch;supervisors of food preparation and serving workers
waiters and waitresses;broadmatch;food and beverage serving workers
food servers, nonrestaurant;broadmatch;food and beverage serving workers
miscellaneous protective service workers;narrowmatch;school bus monitors
fast food and counter workers;narrowmatch;baristas
first-line supervisors of housekeeping and janitorial workers;broadmatch;first-line supervisors of building and grounds cleaning and maintenance workers
first-line supervisors of building and grounds cleaning and maintenance workers;narrowmatch;first-line supervisors of landscaping, lawn service, and groundskeeping workers
first-line supervisors of landscaping, lawn service, and groundskeeping workers;broadmatch;first-line supervisors of building and grounds cleaning and maintenance workers
building cleaning and pest control workers;narrowmatch;building cleaning workers
building cleaning workers;broadmatch;building cleaning and pest control workers
building cleaning and pest control workers;narrowmatch;pest control workers
pest control workers;broadmatch;building cleaning and pest control workers
building cleaning workers;narrowmatch;janitors and cleaners, except maids and housekeeping cleaners
janitors and cleaners, except maids and housekeeping cleaners;broadmatch;building cleaning workers
building cleaning workers;narrowmatch;maids and housekeeping cleaners
maids and housekeeping cleaners;broadmatch;building cleaning workers
building cleaning workers;narrowmatch;building cleaning workers, all other
building cleaning workers, all other;broadmatch;building cleaning workers
grounds maintenance workers;narrowmatch;landscaping and groundskeeping workers
landscaping and groundskeeping workers;broadmatch;grounds maintenance workers
grounds maintenance workers;narrowmatch;pesticide handlers, sprayers, and applicators, vegetation
pesticide handlers, sprayers, and applicators, vegetation;broadmatch;grounds maintenance workers
first-line supervisors of building and grounds cleaning and maintenance workers;narrowmatch;first-line supervisors of housekeeping and janitorial workers
first-line supervisors of building and grounds cleaning and maintenance workers;broadmatch;supervisors of building and grounds cleaning and maintenance workers
supervisors of building and grounds cleaning and maintenance workers;narrowmatch;first-line supervisors of building and grounds cleaning and maintenance workers
other food preparation and serving related workers;narrowmatch;miscellaneous food preparation and serving related workers
baristas;broadmatch;fast food and counter workers
other food preparation and serving related workers;narrowmatch;dining room and cafeteria attendants and bartender helpers
dining room and cafeteria attendants and bartender helpers;broadmatch;other food preparation and serving related workers
other food preparation and serving related workers;narrowmatch;dishwashers
dishwashers;broadmatch;other food preparation and serving related workers
other food preparation and serving related workers;narrowmatch;hosts and hostesses, restaurant, lounge, and coffee shop
hosts and hostesses, restaurant, lounge, and coffee shop;broadmatch;other food preparation and serving related workers
miscellaneous food preparation and serving related workers;broadmatch;other food preparation and serving related workers
grounds maintenance workers;broadmatch;building and grounds cleaning and maintenance occupations
miscellaneous food preparation and serving related workers;narrowmatch;food preparation and serving related workers, all other
food preparation and serving related workers, all other;broadmatch;miscellaneous food preparation and serving related workers
building and grounds cleaning and maintenance occupations;narrowmatch;supervisors of building and grounds cleaning and maintenance workers
supervisors of building and grounds cleaning and maintenance workers;broadmatch;building and grounds cleaning and maintenance occupations
building and grounds cleaning and maintenance occupations;narrowmatch;building cleaning and pest control workers
building cleaning and pest control workers;broadmatch;building and grounds cleaning and maintenance occupations
building and grounds cleaning and maintenance occupations;narrowmatch;grounds maintenance workers
school bus monitors;broadmatch;miscellaneous protective service workers
transportation security screeners;broadmatch;miscellaneous protective service workers
tree trimmers and pruners;broadmatch;grounds maintenance workers
law enforcement workers;narrowmatch;bailiffs, correctional officers, and jailers
supervisors of protective service workers;narrowmatch;miscellaneous first-line supervisors, protective service workers
miscellaneous first-line supervisors, protective service workers;broadmatch;supervisors of protective service workers
first-line supervisors of law enforcement workers;narrowmatch;first-line supervisors of correctional officers
first-line supervisors of correctional officers;broadmatch;first-line supervisors of law enforcement workers
first-line supervisors of law enforcement workers;narrowmatch;first-line supervisors of police and detectives
first-line supervisors of police and detectives;broadmatch;first-line supervisors of law enforcement workers
miscellaneous first-line supervisors, protective service workers;narrowmatch;first-line supervisors of security workers
first-line supervisors of security workers;broadmatch;miscellaneous first-line supervisors, protective service workers
miscellaneous first-line supervisors, protective service workers;narrowmatch;first-line supervisors of protective service workers, all other
first-line supervisors of protective service workers, all other;broadmatch;miscellaneous first-line supervisors, protective service workers
firefighting and prevention workers;narrowmatch;firefighters
firefighters;broadmatch;firefighting and prevention workers
firefighting and prevention workers;narrowmatch;fire inspectors
fire inspectors;broadmatch;firefighting and prevention workers
fire inspectors;narrowmatch;fire inspectors and investigators
fire inspectors and investigators;broadmatch;fire inspectors
fire inspectors;narrowmatch;forest fire inspectors and prevention specialists
first-line supervisors of firefighting and prevention workers;broadmatch;supervisors of protective service workers
supervisors of protective service workers;narrowmatch;first-line supervisors of firefighting and prevention workers
first-line supervisors of law enforcement workers;broadmatch;supervisors of protective service workers
endoscopy technicians;broadmatch;healthcare support workers, all other
miscellaneous healthcare support occupations;narrowmatch;phlebotomists
phlebotomists;broadmatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;narrowmatch;healthcare support workers, all other
healthcare support workers, all other;broadmatch;miscellaneous healthcare support occupations
healthcare support workers, all other;narrowmatch;speech-language pathology assistants
speech-language pathology assistants;broadmatch;healthcare support workers, all other
healthcare support workers, all other;narrowmatch;endoscopy technicians
protective service occupations;narrowmatch;supervisors of protective service workers
supervisors of protective service workers;narrowmatch;first-line supervisors of law enforcement workers
supervisors of protective service workers;broadmatch;protective service occupations
protective service occupations;narrowmatch;firefighting and prevention workers
firefighting and prevention workers;broadmatch;protective service occupations
protective service occupations;narrowmatch;law enforcement workers
law enforcement workers;broadmatch;protective service occupations
protective service occupations;narrowmatch;other protective service workers
other protective service workers;broadmatch;protective service occupations
forest fire inspectors and prevention specialists;broadmatch;fire inspectors
bailiffs, correctional officers, and jailers;broadmatch;law enforcement workers
miscellaneous protective service workers;narrowmatch;transportation security screeners
law enforcement workers;narrowmatch;detectives and criminal investigators
customs and border protection officers;broadmatch;police and sheriffâs patrol officers
other protective service workers;narrowmatch;animal control workers
animal control workers;broadmatch;other protective service workers
other protective service workers;narrowmatch;private detectives and investigators
private detectives and investigators;broadmatch;other protective service workers
other protective service workers;narrowmatch;security guards and gambling surveillance officers
security guards and gambling surveillance officers;broadmatch;other protective service workers
other protective service workers;narrowmatch;miscellaneous protective service workers
miscellaneous protective service workers;broadmatch;other protective service workers
security guards and gambling surveillance officers;narrowmatch;gambling surveillance officers and gambling investigators
gambling surveillance officers and gambling investigators;broadmatch;security guards and gambling surveillance officers
security guards and gambling surveillance officers;narrowmatch;security guards
