head;relation;tail
biomass power plant managers;broadmatch;industrial production managers
industrial production managers;narrowmatch;hydroelectric production managers
hydroelectric production managers;broadmatch;industrial production managers
transportation, storage, and distribution managers;narrowmatch;supply chain managers
supply chain managers;broadmatch;transportation, storage, and distribution managers
other management occupations;narrowmatch;farmers, ranchers, and other agricultural managers
farmers, ranchers, and other agricultural managers;broadmatch;other management occupations
other management occupations;narrowmatch;construction managers
construction managers;broadmatch;other management occupations
other management occupations;narrowmatch;education and childcare administrators
education and childcare administrators;broadmatch;other management occupations
other management occupations;narrowmatch;architectural and engineering managers
architectural and engineering managers;broadmatch;other management occupations
other management occupations;narrowmatch;food service managers
food service managers;broadmatch;other management occupations
industrial production managers;narrowmatch;biofuels production managers
geothermal production managers;broadmatch;industrial production managers
industrial production managers;narrowmatch;geothermal production managers
administrative services and facilities managers;narrowmatch;facilities managers
compensation and benefits managers;broadmatch;operations specialties managers
operations specialties managers;narrowmatch;human resources managers
human resources managers;broadmatch;operations specialties managers
operations specialties managers;narrowmatch;training and development managers
training and development managers;broadmatch;operations specialties managers
administrative services and facilities managers;narrowmatch;administrative services managers
administrative services managers;broadmatch;administrative services and facilities managers
facilities managers;broadmatch;administrative services and facilities managers
quality control systems managers;broadmatch;industrial production managers
facilities managers;narrowmatch;security managers
security managers;broadmatch;facilities managers
financial managers;narrowmatch;treasurers and controllers
treasurers and controllers;broadmatch;financial managers
financial managers;narrowmatch;investment fund managers
investment fund managers;broadmatch;financial managers
industrial production managers;narrowmatch;quality control systems managers
business operations specialists;narrowmatch;fundraisers
business operations specialists;narrowmatch;compensation, benefits, and job analysis specialists
computer occupations, all other;narrowmatch;digital forensics analysts
computer support specialists;narrowmatch;computer network support specialists
Computer Occupations;narrowmatch;computer and information analysts
computer and information analysts;broadmatch;Computer Occupations
Computer Occupations;narrowmatch;computer and information research scientists
computer and information research scientists;broadmatch;Computer Occupations
Computer Occupations;narrowmatch;computer support specialists
computer support specialists;broadmatch;Computer Occupations
Computer Occupations;narrowmatch;database and network administrators and architects
database and network administrators and architects;broadmatch;Computer Occupations
Computer Occupations;narrowmatch;software and web developers, programmers, and testers
